Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
ci.carpinteria.ca.us,,,,Local,,California,city of Carpenteria.   -- Note added 3/10/15 22:19,http://ci.carpinteria.ca.us/,6/6/13 18:08
ci.carrboro.nc.us,,,,Local,,North Carolina,"carrboro, nc -- Note added 9/11/15 19:13",http://ci.carrboro.nc.us/,6/6/13 18:08
ci.carson.ca.us,,,,Local,,California,"City of Carson, CA -- Note added 1/13/14 19:10",http://ci.carson.ca.us/,6/6/13 18:08
ci.carteret.nj.us,,,,Local,,New Jersey,"carteret, nj -- Note added 9/15/15 19:17",http://ci.carteret.nj.us/,6/6/13 18:08
ci.castle-rock.wa.us,,,,Local,,Washington,"City of Castle Rock, WA -- Note added 9/15/14 5:27",http://ci.castle-rock.wa.us/,6/6/13 18:08
ci.cedar-falls.ia.us,,,,Local,,Iowa,"Cedar Falls, Ia n  -- Note added 8/25/15 20:05",http://www.cedarfalls.com/,6/6/13 18:09
ci.cedarburg.wi.us,,,,Local,,Wisconsin,"City of Cedarburg, WI -- Note added 7/25/14 5:34",http://www.ci.cedarburg.wi.us/,6/6/13 18:08
ci.champaign.il.us,,,,Local,,Illinois,"City of Champaign, IL -- Note added 8/27/13 12:49",http://ci.champaign.il.us/,6/6/13 18:08
ci.chanhassen.mn.us,,,,Local,,Minnesota,"City of Chanhassen, MN -- Note added 4/19/15 22:24",http://www.ci.chanhassen.mn.us/,6/6/13 18:09
ci.chehalis.wa.us,,,,Local,,Washington,"City of Cehalis, WA -- Note added 9/15/14 5:28",http://ci.chehalis.wa.us/,6/6/13 18:08
ci.chisholm.mn.us,,,,Local,,Minnesota,"City of Chisholm, MN -- Note added 7/26/13 17:41",http://www.ci.chisholm.mn.us/,6/6/13 18:09
ci.chowchilla.ca.us,,,,Local,,California,City of Chowchilla website -- Note added 3/13/15 14:44,http://ci.chowchilla.ca.us/,6/6/13 18:08
ci.circle-pines.mn.us,,,,Local,,Minnesota,"City of Circle Pines, MN -- Note added 6/6/13 18:08",http://www.ci.circle-pines.mn.us/,6/6/13 18:08
ci.claremont.ca.us,,,,Local,,California,"City of Clarmont, CA -- Note added 1/15/14 12:15",http://www.ci.claremont.ca.us/,6/6/13 18:08
ci.clayton.ca.us,,,,Local,,California,"City of Clayton, CA -- Note added 3/13/15 14:57",http://ci.clayton.ca.us/,6/6/13 18:08
ci.cleburne.tx.us,,,,Local,,Texas,"City of Cleburne, TX -- Note added 3/10/15 7:16",http://www.cleburne.net/,6/6/13 18:08
ci.clovis.ca.us,,,,Local,,California,"City of Clovis, CA -- Note added 8/27/13 12:53",http://www.ci.clovis.ca.us/,6/6/13 18:08
ci.clute.tx.us,,,,Local,,Texas,"City of Clute, TX -- Note added 3/10/15 7:17",http://www.ci.clute.tx.us/pages/index.php,6/6/13 18:08
ci.cohoes.ny.us,,,,Local,,New York,"City of Cohoes, NY -- Note added 6/17/15 17:19",http://ci.cohoes.ny.us/,6/6/13 18:08
ci.college-place.wa.us,,,,Local,,Washington,"City of College Place, WA -- Note added 7/19/13 17:35",http://www.ci.college-place.wa.us/,6/6/13 18:08
ci.colospgs.co.us,,,,Local,,Colorado,"City of Colorado Springs, CO -- Note added 7/11/14 5:28",http://ci.colospgs.co.us/,6/6/13 18:08
